Title,Developer(s),Publisher(s),Release date
PAL,JP,NA
The Dukes of Hazzard: Return of the General Lee,Ratbag Games,Ubisoft,"Oct 14, 2004 AUS Oct 15, 2004 EU",Unreleased,"Sep 28, 2004"
Dungeons & Dragons: Heroes,Atari Interactive Hunt Valley Studio,Atari Interactive,"Nov 14, 2003 EU Nov 21, 2003 AUS",Unreleased,"Sep 16, 2003"
Dynasty Warriors 3,Omega Force,Koei,"Dec 6, 2002","Sep 26, 2002","Sep 30, 2002"
Dynasty Warriors 4,Omega Force,Koei,"Nov 14, 2003","Sep 4, 2003","Sep 5, 2003"
Dynasty Warriors 5,Omega Force,Koei,"Sep 23, 2005","Aug 25, 2005","Sep 13, 2005"
"Ed, Edd n Eddy: The Mis-Edventures",Artificial Mind and Movement,Midway,Unreleased,Unreleased,"Oct 31, 2005"
Egg Mania: Eggstreme Madness Eggo Mania (PAL),HotGen,Kemco,"Oct 25, 2002","Oct 3, 2002","Sep 11, 2002"
The Elder Scrolls III: Morrowind,Bethesda Game Studios,Bethesda Softworks NA Ubi Soft PAL,"Nov 22, 2002",Unreleased,"Jun 6, 2002"
Enclave,Starbreeze Studios,Swing! Entertainment PAL Conspiracy Entertainment NA,"Jul 19, 2002",Unreleased,"Jul 29, 2002"
England International Football,Codemasters,Codemasters,"Apr 30, 2004",Unreleased,Unreleased
Enter the Matrix,Shiny Entertainment,Infogrames,"May 15, 2003","Jun 19, 2003","May 15, 2003"
Eragon,Stormfront Studios,Vivendi Games,"Nov 23, 2006 AUS Nov 24, 2006 EU",Unreleased,"Nov 14, 2006"
ESPN College Hoops,Kush Games,Sega,Unreleased,Unreleased,"Nov 11, 2003"
ESPN College Hoops 2K5,Visual Concepts,Sega,Unreleased,Unreleased,"Nov 17, 2004"
ESPN International Winter Sports 2002 International Winter Sports (PAL) Hyper Sports 2002 Winter (JP),Konami Computer Entertainment Osaka,Konami,"Apr 12, 2002","Feb 22, 2002","Jan 29, 2002"
ESPN Major League Baseball,Blue Shift,Sega,Unreleased,Unreleased,"Apr 6, 2004"
ESPN MLS ExtraTime 2002,Konami Computer Entertainment Hawaii,Konami,Unreleased,Unreleased,"Mar 26, 2002"
ESPN NBA 2K5,Visual Concepts,Sega NA Global Star Software PAL,"Jan 28, 2005 AUS Feb 4, 2005 EU",Unreleased,"Sep 28, 2004"
ESPN NBA 2Night 2002,Konami,Konami,Unreleased,"Mar 28, 2002","Apr 16, 2002"
ESPN NBA Basketball,Visual Concepts,Sega,"Nov 28, 2003",Unreleased,"Oct 21, 2003"
ESPN NFL 2K5,Visual Concepts,Sega NA Global Star Software PAL,"Feb 4, 2005",Unreleased,"Jul 20, 2004"
ESPN NFL Football,Visual Concepts,Sega,"Nov 27, 2003 AUS Nov 28, 2003 EU",Unreleased,"Sep 2, 2003"
ESPN NFL PrimeTime 2002,Farsight Technologies,Konami,Unreleased,Unreleased,"Jan 22, 2002"
ESPN NHL 2K5,Kush Games,Sega NA Global Star Software PAL,"Jan 28, 2005 AUS Feb 4, 2005 EU",Unreleased,"Sep 1, 2004"
ESPN NHL Hockey,Kush Games,Sega,"Nov 28, 2003",Unreleased,"Sep 9, 2003"
ESPN Winter X-Games Snowboarding 2002 ESPN Winter Games Snowboarding 2 (PAL),Konami Computer Entertainment Osaka,Konami,"Jun 7, 2002","Feb 22, 2002","Mar 6, 2002"
Evil Dead: A Fistful of Boomstick,VIS Entertainment,THQ,"Jun 27, 2003",Unreleased,"Jun 17, 2003"
Evil Dead: Regeneration,Cranky Pants Games,THQ,"Sep 16, 2005 AUS Sep 30, 2005 EU",Unreleased,"Sep 13, 2005"
ExaSkeleton,Production I.G,"KiKi Co., Ltd.",Unreleased,"Dec 18, 2003",Unreleased
F1 2001,EA UK,EA Sports,Unreleased,Unreleased,"Nov 19, 2001"
F1 2002,Visual Science,EA Sports,"Apr 5, 2002","Apr 4, 2002",Unreleased
F1 Career Challenge,Visual Science,EA Sports,"Jun 23, 2003 AUS Jun 27, 2003 EU",Unreleased,Unreleased
Fable,Big Blue Box Studios,Microsoft Game Studios,"Oct 8, 2004 EU Oct 14, 2004 AUS","Mar 17, 2005","Sep 14, 2004"
Fable: The Lost Chapters,Lionhead Studios,Microsoft Game Studios,"Oct 21, 2005 EU Nov 24, 2005 AUS",Unreleased,"Oct 18, 2005"
Fahrenheit Indigo Prophecy (NA),Quantic Dream,Atari,"Sep 16, 2005",Unreleased,"Sep 20, 2005"
The Fairly OddParents: Breakin' Da Rules,Blitz Games,THQ,Unreleased,Unreleased,"Nov 10, 2003"
Fallout: Brotherhood of Steel,Interplay Entertainment,Interplay Entertainment,"Apr 2, 2004","Apr 28, 2005 AS","Jan 13, 2004"
Family Guy Video Game!,High Voltage Software,2K Games,"Oct 26, 2006 EU Nov 3, 2006 AUS",Unreleased,"Oct 17, 2006"
Fantastic Four,7 Studios,Activision,"Jul 1, 2005 AUS Jul 15, 2005 EU",Unreleased,"Jun 27, 2005"
Far Cry Instincts,Ubisoft Montreal,Ubisoft,"Sep 29, 2005 AUS Sep 30, 2005 EU",Unreleased,"Sep 27, 2005"
Far Cry Instincts: Evolution,Ubisoft Montreal,Ubisoft,"Mar 30, 2006",Unreleased,"Mar 28, 2006"
Fatal Frame Project Zero (PAL),Tecmo,Tecmo NA/JP Microsoft Game Studios PAL,"May 2, 2003","Feb 6, 2003","Nov 27, 2002"
Fatal Frame II: Crimson Butterfly Director's Cut Project Zero II: Crimson Butterfly Director's Cut (PAL),Tecmo,Tecmo NA/JP Microsoft Game Studios PAL,"Feb 4, 2005","Nov 11, 2004","Nov 1, 2004"
FIFA 06 FIFA Soccer 06 (NA),EA Canada,EA Sports,"Sep 27, 2005 AUS Sep 30, 2005 EU",Unreleased,"Oct 4, 2005"
FIFA 07 FIFA Soccer 07 (NA),EA Canada,EA Sports,"Sep 28, 2006 AUS Sep 29, 2006 EU",Unreleased,"Oct 3, 2006"
FIFA Football 2003 FIFA Soccer 2003 (NA),EA Canada,EA Sports,"Nov 1, 2002",Unreleased,"Nov 12, 2002"
FIFA Football 2004 FIFA Soccer 2004 (NA),EA Canada,EA Sports,"Oct 24, 2003",Unreleased,"Nov 4, 2003"
FIFA Football 2005 FIFA Soccer 2005 (NA),EA Canada,EA Sports,"Oct 8, 2004 EU Oct 12, 2004 AUS",Unreleased,"Oct 12, 2004"
FIFA Street,EA Canada,EA Sports BIG,"Mar 11, 2005",Unreleased,"Feb 22, 2005"
FIFA Street 2,EA Canada,EA Sports BIG,"Mar 3, 2006 EU Mar 6, 2006 AUS",Unreleased,"Feb 28, 2006"
Fight Club,Genuine Games,Vivendi Universal Games,"Dec 10, 2004",Unreleased,"Nov 16, 2004"
Fight Night 2004,EA Canada NuFX,EA Sports,"Apr 30, 2004",Unreleased,"Apr 5, 2004"
Fight Night Round 2,EA Chicago,EA Sports,"Mar 18, 2005 EU Mar 22, 2005 AUS",Unreleased,"Mar 1, 2005"
Fight Night Round 3,EA Chicago,EA Sports,"Mar 6, 2006 AUS Mar 10, 2006 EU",Unreleased,"Feb 20, 2006"
FILA World Tour Tennis,Hokus Pokus,THQ,"Aug 23, 2002",Unreleased,Unreleased
Final Fight: Streetwise,"Secret Level, Inc.",Capcom,"Apr 5, 2006 AUS Apr 7, 2006 EU",Unreleased,"Feb 28, 2006"
Finding Nemo,Traveller's Tales,THQ,"Sep 3, 2003 AUS Sep 26, 2003 EU",Unreleased,"May 9, 2003"
Fire Blade,Kuju Entertainment,Midway,"Feb 28, 2003",Unreleased,"Nov 17, 2002"
FlatOut,Bugbear Entertainment,Empire Interactive,"Nov 5, 2004 EU Nov 12, 2004 AUS",Unreleased,"Jul 12, 2005"
FlatOut 2,Bugbear Entertainment,Empire Interactive PAL Vivendi Universal Games NA,"Jun 30, 2006",Unreleased,"Aug 1, 2006"
Flight Academy,AquaSystem,AquaSystem,Unreleased,"Aug 29, 2002",Unreleased
Ford Mustang: The Legend Lives,Eutechnyx,2K Games NA Global Star Software PAL,"Jul 15, 2005",Unreleased,"Apr 19, 2005"
Ford Racing 2,Razorworks,Empire Interactive PAL Gotham Games NA,"Oct 31, 2003",Unreleased,"Nov 3, 2003"
Ford Racing 3,Razorworks,Empire Interactive PAL 2K Games NA,"Oct 29, 2004 EU Nov 4, 2004 AUS",Unreleased,"Mar 22, 2005"
Ford Street Racing Ford Bold Moves Street Racing (NA),Razorworks,Empire Interactive PAL Eidos Interactive NA,"Feb 24, 2006",Unreleased,"Sep 19, 2006"
Ford vs. Chevy,Eutechnyx,Global Star Software,Unreleased,Unreleased,"Nov 10, 2005"
Forgotten Realms: Demon Stone,Stormfront Studios,Atari,"Feb 11, 2005",Unreleased,"Nov 17, 2004"
Forza Motorsport,Turn 10 Studios,Microsoft Game Studios,"May 13, 2005","May 12, 2005","May 3, 2005"
Freaky Flyers,Midway Studios San Diego,Midway,"Oct 10, 2003",Unreleased,"Aug 4, 2003"
Freedom Fighters,IO Interactive,EA Games,"Sep 25, 2003 AUS Sep 26, 2003 EU",Unreleased,"Oct 1, 2003"
Freestyle MetalX,Deibus Studios,Midway Sports Asylum,"Sep 19, 2003",Unreleased,"Oct 3, 2003"
Freestyle Street Soccer Urban Freestyle Soccer (PAL),Gusto Games,Acclaim Entertainment,"Feb 13, 2004",Unreleased,"Jan 27, 2004"
Frogger: Ancient Shadow,Hudson Soft,Konami,Unreleased,Unreleased,"Sep 27, 2005"
Frogger Beyond,Konami Computer Entertainment Hawaii Konami Software Shanghai,Konami,Unreleased,Unreleased,"Dec 10, 2002"
Full Spectrum Warrior,Pandemic Studios,THQ,"Jun 25, 2004","Sep 30, 2004","Jun 1, 2004"
Full Spectrum Warrior: Ten Hammers,Pandemic Studios,THQ,"Jun 23, 2006",Unreleased,"Mar 27, 2006"
Furious Karting,Babylon Software,Infogrames,"Jan 24, 2003",Unreleased,"Mar 28, 2003"
Futurama,Unique Development Studios,SCi Games PAL Vivendi Universal Games NA,"Aug 1, 2003 EU Aug 8, 2003 AUS",Unreleased,"Aug 12, 2003"
Future Tactics: The Uprising,Zed Two,Crave Entertainment NA JoWooD Productions PAL,"Oct 22, 2004",Unreleased,"May 7, 2004"
Fuzion Frenzy,Blitz Games,Microsoft Game Studios,"Mar 14, 2002",Unreleased,"Nov 15, 2001"
Galaxy Angel,Broccoli,Broccoli,Unreleased,"Jan 23, 2003",Unreleased
Galleon,Confounding Factor,SCi Games PAL Atlus NA,"Jun 11, 2004",Unreleased,"Aug 3, 2004"
Gauntlet Dark Legacy,Midway Games West,Midway,"Jun 28, 2002",Unreleased,"Apr 23, 2002"
Gauntlet: Seven Sorrows,Midway Studios San Diego,Midway,"Feb 28, 2006 AUS Mar 24, 2006 EU",Unreleased,"Dec 12, 2005"
Gene Troopers,Cauldron,Playlogic Entertainment,"Nov 9, 2005",Unreleased,Unreleased
Genma Onimusha,Capcom,Capcom,"Mar 22, 2002","Feb 22, 2002","Jan 29, 2002"
Ghost Master: The Gravenville Chronicles,Spiral House,Empire Interactive,"Aug 27, 2004",Unreleased,Unreleased
Gladiator: Sword of Vengeance,Acclaim Studios Manchester,Acclaim Entertainment,"Dec 5, 2003",Unreleased,"Nov 4, 2003"
Gladius,LucasArts,LucasArts,"Nov 28, 2003",Unreleased,"Oct 28, 2003"
Goblin Commander: Unleash the Horde,Jaleco Entertainment,Jaleco Entertainment,"Mar 19, 2004",Unreleased,"Nov 11, 2003"
The Godfather,Page 44 Studios,Electronic Arts,"Mar 23, 2006 AUS Mar 24, 2006 EU",Unreleased,"Mar 21, 2006"
Godzilla: Destroy All Monsters Melee,Pipeworks Software,Infogrames,"May 8, 2003",Unreleased,"Apr 15, 2003"
Godzilla: Save the Earth,Pipeworks Software,Atari,"Nov 19, 2004 EU Dec 10, 2004 AUS",Unreleased,"Nov 16, 2004"
GoldenEye: Rogue Agent,EA Los Angeles,EA Games,"Nov 23, 2004 AUS Dec 3, 2004 EU",Unreleased,"Nov 22, 2004"
Gotcha!,Sixteen Tons Entertainment,Promotion Software,"Apr 5, 2005",Unreleased,Unreleased
Grabbed by the Ghoulies,Rare,Microsoft Game Studios,"Nov 21, 2003","Apr 29, 2004","Oct 21, 2003"
Grand Theft Auto III,Rockstar Vienna,Rockstar Games WW Capcom JP,"Jan 2, 2004","Jul 29, 2004","Nov 4, 2003"
Grand Theft Auto: San Andreas,Rockstar North,Rockstar Games,"Jun 10, 2005",Unreleased,"Jun 7, 2005"
Grand Theft Auto: Vice City,Rockstar Vienna,Rockstar Games WW Capcom JP,"Jan 2, 2004","Jul 29, 2004","Nov 4, 2003"
Gravity Games Bike: Street Vert Dirt,Midway Studios San Diego,Midway Sports Asylum,"Sep 27, 2002",Unreleased,"Sep 4, 2002"
The Great Escape,Pivotal Games,Gotham Games NA SCi Games PAL,"Aug 29, 2003",Unreleased,"Jul 23, 2003"
Greg Hastings' Tournament Paintball,The Whole Experience,Activision,"Mar 24, 2005",Unreleased,"Nov 16, 2004"
Greg Hastings' Tournament Paintball MAX'D,The Whole Experience,Activision,"Dec 20, 2005",Unreleased,"Oct 18, 2005"
Grooverider: Slot Car Thunder,King of the Jungle,Encore,Unreleased,Unreleased,"Sep 25, 2003"
Group S Challenge Circus Drive (JP),DigitalStudio,Capcom,"Sep 26, 2003","Aug 28, 2003","Nov 11, 2003"
Guilty Gear Isuka,Arc System Works,Sammy,Unreleased,"Dec 16, 2004",Unreleased
Guilty Gear X2 #Reload,Arc System Works,Sammy JP Majesco Sales NA Zoo Digital Publishing PAL,"Nov 26, 2004","Apr 29, 2004","Sep 14, 2004"
Gun,Neversoft,Activision,"Nov 9, 2005 AUS Nov 11, 2005 EU",Unreleased,"Nov 8, 2005"
Gungriffon Allied Strike,Game Arts,Tecmo,"Apr 8, 2005","Dec 16, 2004","Dec 14, 2004"
Gun Metal,Rage Games,Rage Games PAL Majesco Sales NA,"Jun 28, 2002",Unreleased,"Aug 1, 2002"
Gunvalkyrie,Smilebit,Sega,"May 17, 2002","Mar 21, 2002","Mar 19, 2002"
The Guy Game,Topheavy Studios,Gathering,Unreleased,Unreleased,"Aug 31, 2004"
Half-Life 2,Valve,Valve,"Nov 18, 2005",Unreleased,"Nov 15, 2005"
Halo: Combat Evolved,Bungie,Microsoft Game Studios,"Mar 14, 2002","Apr 25, 2002","Nov 15, 2001"
Halo 2,Bungie,Microsoft Game Studios,"Nov 9, 2004 AUS Nov 11, 2004 EU","Nov 11, 2004","Nov 9, 2004"
Harry Potter and the Chamber of Secrets,Eurocom,EA Games,"Nov 15, 2002","Nov 23, 2002 KOR","Nov 15, 2002"
Harry Potter and the Goblet of Fire,EA UK,Electronic Arts,"Nov 11, 2005",Unreleased,"Nov 8, 2005"
Harry Potter and the Philosopher's Stone Harry Potter and the Sorcerer's Stone (NA),Warthog Games,EA Games,"Dec 12, 2003",Unreleased,"Dec 12, 2003"
Harry Potter and the Prisoner of Azkaban,EA UK,EA Games,"May 29, 2004",Unreleased,"Jun 2, 2004"
Harry Potter: Quidditch World Cup,EA UK,EA Games,"Nov 7, 2003",Unreleased,"Oct 28, 2003"
The Haunted Mansion,High Voltage Software,TDK Mediactive,"Mar 5, 2003",Unreleased,"Oct 16, 2003"
Headhunter Redemption,Amuze,Sega,"Aug 27, 2004 EU Sep 3, 2004 AUS",Unreleased,"Sep 21, 2004"
Hello Kitty: Roller Rescue Hello Kitty: Mission Rescue (AS),XPEC Entertainment,XPEC Entertainment AS Empire Interactive PAL,"Sep 9, 2005","Apr 1, 2005 AS",Unreleased
Heroes of the Pacific,IR Gurus,Codemasters PAL Ubisoft NA,"Sep 23, 2005",Unreleased,"Sep 28, 2005"
High Heat Major League Baseball 2004,The 3DO Company,The 3DO Company,Unreleased,Unreleased,"Mar 6, 2003"
High Rollers Casino,Cinemaware Virtual Toys,Mud Duck Productions,Unreleased,Unreleased,"Nov 11, 2004"
Hitman 2: Silent Assassin,IO Interactive,Eidos Interactive,"Oct 4, 2002 EU Oct 18, 2002 AUS","Jul 3, 2003","Oct 1, 2002"
Hitman: Blood Money,IO Interactive,Eidos Interactive,"May 26, 2006 EU Jun 1, 2006 AUS",Unreleased,"May 30, 2006"
Hitman: Contracts,IO Interactive,Eidos Interactive,"Apr 30, 2004 EU May 13, 2004 AUS","Oct 14, 2004","Apr 20, 2004"
The Hobbit,Inevitable Entertainment,Vivendi Universal Games,"Nov 28, 2003",Unreleased,"Nov 11, 2003"
Hot Wheels: Stunt Track Challenge,Climax Brighton,THQ,"Nov 26, 2004",Unreleased,"Nov 9, 2004"
The House of the Dead III,Wow Entertainment,Sega,"Mar 14, 2003","Jan 30, 2003","Oct 24, 2002"
Hulk,Radical Entertainment,Universal Interactive,"Jun 13, 2003 EU Jun 26, 2003 AUS",Unreleased,"May 28, 2003"
Hummer Badlands,Eutechnyx,Global Star Software,Unreleased,Unreleased,"Apr 13, 2006"
Hunter: The Reckoning,High Voltage Software,Interplay Entertainment,"Jul 5, 2002",Unreleased,"May 21, 2002"
Hunter: The Reckoning – Redeemer,High Voltage Software,Vivendi Universal Games,"Nov 21, 2003","Jan 22, 2004","Oct 28, 2003"
The Hustle: Detroit Streets,Blade Interactive,Activision,Unreleased,Unreleased,"Apr 26, 2006"
I-Ninja,Argonaut Games,Namco,Unreleased,Unreleased,"Dec 4, 2003"
Ice Age 2: The Meltdown,Eurocom,Vivendi Universal Games,"Mar 31, 2006",Unreleased,"Mar 14, 2006"
IHRA Drag Racing 2004,Super Happy Fun Fun,Bethesda Softworks,Unreleased,Unreleased,Nov 2003
IHRA Drag Racing: Sportsman Edition,Bethesda Game Studios,Bethesda Softworks,Unreleased,Unreleased,"Jun 12, 2006"
IHRA Professional Drag Racing 2005,Bethesda Game Studios,Bethesda Softworks,Unreleased,Unreleased,Nov 2004
Innocent Tears,Global A Entertainment,Kobi,Unreleased,"Dec 5, 2002",Unreleased
The Incredible Hulk: Ultimate Destruction,Radical Entertainment,Vivendi Universal Games,"Sep 9, 2005",Unreleased,"Aug 23, 2005"
The Incredibles,Heavy Iron Studios,THQ,"Nov 5, 2004 EU Nov 16, 2004 AUS","Dec 2, 2004","Nov 1, 2004"
The Incredibles: Rise of the Underminer,Heavy Iron Studios,THQ,"Nov 11, 2005",Unreleased,"Nov 1, 2005"
Indiana Jones and the Emperor's Tomb,The Collective,LucasArts,"Mar 28, 2003",Unreleased,"Feb 25, 2003"
IndyCar Series,Codemasters,Codemasters,"Jun 20, 2003",Unreleased,"Jun 26, 2003"
IndyCar Series 2005,Codemasters,Codemasters,"Jun 25, 2004",Unreleased,"Jun 22, 2004"
Inside Pitch 2003,Indie Built,Microsoft Game Studios,Unreleased,"Oct 23, 2003","May 20, 2003"
The Italian Job,Climax Brighton,Eidos Interactive,"Sep 12, 2003 EU Sep 19, 2003 AUS",Unreleased,"Jun 24, 2003"
Intellivision Lives!,Realtime Associates,Crave Entertainment,Unreleased,Unreleased,"Feb 2, 2004"
International Superstar Soccer 2,Konami,Konami,"May 10, 2002",Unreleased,Unreleased
Iron Phoenix,InterServ International,Sega,Unreleased,Unreleased,"Mar 25, 2005"
Jacked,Sproing Interactive,Empire Interactive,"Feb 10, 2006",Unreleased,Unreleased
Jade Empire,BioWare,Microsoft Game Studios,"Apr 22, 2005 EU Jun 30, 2005 AUS","Jun 16, 2005","Apr 12, 2005"
James Bond 007: Agent Under Fire,Savage Entertainment,EA Games,"Jun 14, 2002",Unreleased,"Mar 26, 2002"
James Bond 007: Everything or Nothing,EA Redwood Shores EA Canada,EA Games,"Feb 27, 2004",Unreleased,"Feb 17, 2004"
James Bond 007: From Russia with Love,EA Redwood Shores,Electronic Arts,"Nov 18, 2005 EU Nov 21, 2005 AUS",Unreleased,"Nov 1, 2005"
James Bond 007: Nightfire,Eurocom,EA Games,"Nov 29, 2003",Unreleased,"Nov 19, 2002"
James Cameron's Dark Angel,Radical Entertainment,Sierra Entertainment,"Feb 21, 2003",Unreleased,"Nov 19, 2002"
Jaws Unleashed,Appaloosa Interactive,Majesco Entertainment,"Oct 20, 2006 EU Oct 26, 2006 AUS",Unreleased,"May 23, 2006"
Jet Set Radio Future,Smilebit,Sega,"Mar 14, 2002","Feb 22, 2002","Feb 26, 2002"
Jikkyō World Soccer 2002,Konami Computer Entertainment Osaka,Konami,Unreleased,"May 23, 2002",Unreleased
Jockey's Road,Progress Software,Microsoft,Unreleased,"Oct 10, 2002",Unreleased
Judge Dredd: Dredd vs. Death,Rebellion Developments,Vivendi Universal Games International PAL Evolved Games NA,"Oct 17, 2003",Unreleased,"Feb 23, 2005"
Juiced,Juice Games,THQ,"Jun 17, 2005",Unreleased,"Jun 13, 2005"
Jurassic Park: Operation Genesis,Blue Tongue Entertainment,Universal Interactive,"Mar 28, 2003",Unreleased,"Mar 25, 2003"
Just Cause,Avalanche Studios,Eidos Interactive,"Sep 22, 2006 EU Sep 29, 2006 AUS",Unreleased,"Sep 27, 2006"
Justice League Heroes,Snowblind Studios,Warner Bros. Interactive Entertainment,"Nov 24, 2006 EU Dec 22, 2006 AUS",Unreleased,"Oct 17, 2006"
Kabuki Warriors,Genki Lightweight,Crave Entertainment NA Genki JP,Unreleased,"Feb 28, 2002","Nov 20, 2001"
Kakuto Chojin: Back Alley Brutal,Dream Publishing,Microsoft Game Studios,Unreleased,"Jan 1, 2003","Nov 12, 2002"
Kao the Kangaroo: Round 2,Tate Interactive,JoWooD Productions,"Apr 15, 2005",Unreleased,Unreleased
Karaoke Revolution,Harmonix,Konami,Unreleased,Unreleased,"Nov 10, 2004"
Karaoke Revolution Party,Harmonix,Konami,Unreleased,Unreleased,"Nov 8, 2005"
Kelly Slater's Pro Surfer,Treyarch,Activision O2,"Oct 14, 2002 AUS Oct 18, 2002 EU",Unreleased,"Sep 17, 2002"
Kikou Heidan J-Phoenix +,Takara,Takara,Unreleased,"Dec 5, 2002",Unreleased
Kill Switch,Namco USA,Namco,Unreleased,Unreleased,"Oct 28, 2003"
King Arthur,Krome Studios,Konami,"Feb 25, 2005",Unreleased,"Nov 16, 2004"
Kingdom Under Fire: The Crusaders,Phantagram,Microsoft Game Studios NA Deep Silver PAL Jaleco Entertainment JP,"Oct 29, 2004","Jan 27, 2005","Oct 12, 2004"
Kingdom Under Fire: Heroes,Blueside Phantagram,Microsoft Game Studios NA Deep Silver PAL,"Sep 30, 2005 AUS Oct 7, 2005 EU",Unreleased,"Sep 20, 2005"
The King of Fighters 2002,SNK Playmore,SNK Playmore JP/NA,Nov 2005,"Mar 24, 2005","Aug 31, 2005"
The King of Fighters 2003,SNK Playmore,SNK Playmore JP/NA Ignition Entertainment PAL,Unreleased,"Aug 25, 2005","Aug 31, 2005"
The King of Fighters Neowave,SNK Playmore,SNK Playmore,Unreleased,"Mar 30, 2006","Apr 18, 2006"
Knight's Apprentice: Memorick's Adventures,Microids,Microids EU XS Games NA,"Apr 16, 2004",Unreleased,"Jun 15, 2004"
Knights of the Temple: Infernal Crusade,Starbreeze Studios,TDK Mediactive Europe,"Apr 8, 2004",Unreleased,Unreleased
Knights of the Temple II,Cauldron,Playlogic Entertainment,"Nov 24, 2005",Unreleased,Unreleased
Knockout Kings 2002,Black Ops Entertainment,EA Sports WW Electronic Arts Square JP,"May 3, 2002","Apr 4, 2002","Mar 5, 2002"
KOF: Maximum Impact: Maniax,Noise Factory,SNK Playmore,Unreleased,"Jun 23, 2005","Jun 28, 2005"
Kung Fu Chaos Kung Fu Panic (JP),Just Add Monsters,Microsoft Game Studios,"Apr 11, 2003","May 29, 2003","Feb 25, 2003"
L.A. Rush,Midway Studios Newcastle,Midway,"Oct 21, 2005",Unreleased,"Oct 10, 2005"
Land of the Dead: Road to Fiddler's Green,Brainbox Games,Groove Games,Unreleased,Unreleased,"Oct 20, 2005"
Largo Winch: Empire Under Threat,Dupuis,Ubi Soft,"Sep 19, 2002",Unreleased,Unreleased
Legacy of Kain: Defiance,Nixxes Software,Eidos Interactive,"Feb 6, 2004",Unreleased,"Nov 11, 2003"
The Legend of Spyro: A New Beginning,Krome Studios,Vivendi Universal Games,"Oct 27, 2006 EU Nov 2, 2006 AUS",Unreleased,"Oct 10, 2006"
Legends of Wrestling,Acclaim Studios Salt Lake City,Acclaim Entertainment,"Jun 7, 2002",Unreleased,"May 28, 2002"
Legends of Wrestling II,Acclaim Studios Salt Lake City,Acclaim Entertainment,"Feb 7, 2003",Unreleased,"Dec 5, 2002"
Lego Star Wars: The Video Game,Traveller's Tales,Eidos Interactive Giant Interactive Entertainment,"Apr 22, 2005",Unreleased,"Apr 5, 2005"
Lego Star Wars II: The Original Trilogy,Traveller's Tales,LucasArts,"Sep 11, 2006 UK Sep 13, 2006 EU Sep 15, 2006 AUS",Unreleased,"Sep 12, 2006"
Leisure Suit Larry: Magna Cum Laude,High Voltage Software,Vivendi Universal Games,"Nov 5, 2004",Unreleased,"Oct 5, 2004"
Lemony Snicket's A Series of Unfortunate Events,Adrenium Games,Activision,"Nov 25, 2004",Unreleased,"Nov 9, 2004"
Links 2004,Indie Built,Microsoft Game Studios,"Nov 28, 2003","Mar 25, 2004","Nov 11, 2003"
LMA Manager 2003,Codemasters,Codemasters,"Nov 15, 2002",Unreleased,Unreleased
LMA Manager 2004,Codemasters,Codemasters,"Mar 12, 2004",Unreleased,Unreleased
LMA Manager 2005,Codemasters,Codemasters,"Oct 31, 2004",Unreleased,Unreleased
LMA Manager 2006,Codemasters,Codemasters,"Nov 18, 2005",Unreleased,Unreleased
Loons: The Fight for Fame,Warthog Games,Infogrames,"Sep 27, 2002",Unreleased,"Sep 24, 2002"
The Lord of the Rings: The Fellowship of the Ring,The Whole Experience,Black Label Games,"Nov 7, 2002 AUS Nov 8, 2002 EU",Unreleased,"Sep 24, 2002"
The Lord of the Rings: The Return of the King,Hypnos Entertainment,EA Games,"Nov 14, 2003",Unreleased,"Nov 6, 2003"
The Lord of the Rings: The Third Age,EA Redwood Shores,EA Games,"Nov 2, 2004 AUS Nov 5, 2004 EU",Unreleased,"Nov 2, 2004"
The Lord of the Rings: The Two Towers,Hypnos Entertainment,EA Games,"Mar 14, 2003",Unreleased,"Dec 30, 2002"
Lotus Challenge,Kuju Entertainment,Xicat Interactive,"Mar 28, 2003",Unreleased,"Apr 30, 2003"
Mace Griffin: Bounty Hunter,Warthog Games,Black Label Games,"Sep 26, 2003",Unreleased,"Jun 19, 2003"
Mad Dash Racing,Crystal Dynamics Nixxes Software,Eidos Interactive,"Mar 14, 2002","May 30, 2002","Nov 6, 2001"
Madagascar,Toys for Bob,Activision,"Jun 30, 2005",Unreleased,"May 24, 2005"
Madden NFL 06,EA Tiburon,EA Sports,"Sep 12, 2005 AUS Sep 16, 2005 EU",Unreleased,"Aug 9, 2005"
Madden NFL 07,EA Tiburon,EA Sports,"Aug 25, 2006 EU Aug 31, 2006 AUS",Unreleased,"Aug 22, 2006"
Madden NFL 08,EA Tiburon,EA Sports,Unreleased,Unreleased,"Aug 14, 2007"
Madden NFL 09,EA Tiburon,EA Sports,Unreleased,Unreleased,"Aug 12, 2008"
Madden NFL 2002,EA Tiburon,EA Sports,Unreleased,Unreleased,"Nov 15, 2001"
Madden NFL 2003,EA Tiburon,EA Sports,"Sep 27, 2002",Unreleased,"Aug 12, 2002"
Madden NFL 2004,EA Tiburon,EA Sports,"Sep 5, 2003 AUS Sep 12, 2003 EU",Unreleased,"Aug 11, 2003"
Madden NFL 2005,EA Tiburon,EA Sports,"Sep 10, 2004 AUS Sep 17, 2004 EU",Unreleased,"Aug 10, 2004"
Mafia,Illusion Softworks,Gathering,"Mar 26, 2004 UK Apr 2, 2004 EU",Unreleased,"Mar 12, 2004"
Magatama,Microsoft Game Studios Japan,Microsoft,Unreleased,"Nov 20, 2003",Unreleased
