Title,Developer(s),Publisher(s),Release date
PAL,JP,NA
Backyard Wrestling: Don't Try This at Home,Paradox Development,Eidos Interactive,"Nov 7, 2003",Unreleased,"Oct 9, 2003"
Backyard Wrestling 2: There Goes the Neighborhood,Paradox Development,Eidos Interactive,"Nov 19, 2004 EU Dec 3, 2004 AUS",Unreleased,"Nov 16, 2004"
Bad Boys: Miami Takedown Bad Boys II (PAL),Blitz Games,Empire Interactive PAL Crave Entertainment NA,"Feb 27, 2004",Unreleased,"Sep 21, 2004"
Baldur's Gate: Dark Alliance,Snowblind Studios,Interplay Entertainment,"Mar 21, 2003",Unreleased,"Oct 22, 2002"
Baldur's Gate: Dark Alliance II,Black Isle Studios,Interplay Entertainment,"Feb 6, 2004",Unreleased,"Jan 20, 2004"
Barbarian,Saffire,Titus Interactive,"Dec 12, 2003",Unreleased,Unreleased
Barbie Horse Adventures: Wild Horse Rescue,Blitz Games,Vivendi Universal Games,"Feb 13, 2004",Unreleased,"Nov 4, 2003"
The Bard's Tale,InXile Entertainment,InXile Entertainment,"Mar 24, 2005",Unreleased,"Oct 26, 2004"
The Baseball 2002: Battle Ball Park Sengen,Konami,Konami,Unreleased,"Jul 11, 2002",Unreleased
Bass Pro Shops: Trophy Bass 2007,Big John Games,Vivendi Universal Games,Unreleased,Unreleased,"Nov 20, 2006"
Bass Pro Shops Trophy Hunter 2007,Jarhead Games,Vivendi Universal Games,Unreleased,Unreleased,"Nov 20, 2006"
Batman Begins,Eurocom,EA Games Warner Bros. Interactive Entertainment,"Jun 17, 2005 EU Jun 27, 2005 AUS",Unreleased,"Jun 15, 2005"
Batman: Dark Tomorrow,HotGen,Kemco,"Apr 11, 2003","Mar 21, 2003","Mar 18, 2003"
Batman: Rise of Sin Tzu,Ubi Soft Montreal,Ubi Soft,"Nov 14, 2003",Unreleased,"Oct 16, 2003"
Batman: Vengeance,Ubi Soft Montreal,Ubi Soft,"Mar 14, 2002",Unreleased,"Dec 18, 2001"
Battle Engine Aquila,Lost Toys,Infogrames,"Feb 28, 2003",Unreleased,"Jan 27, 2003"
Battlefield 2: Modern Combat,DICE,Electronic Arts,"Nov 18, 2005",Unreleased,"Oct 25, 2005"
Battlestar Galactica,Warthog Games,Universal Interactive,"Dec 5, 2003",Unreleased,"Nov 18, 2003"
Beat Down: Fists of Vengeance,Cavia,Capcom,"Sep 30, 2005","Nov 2, 2005","Aug 23, 2005"
Beyond Good & Evil,Ubisoft Pictures Ubisoft Milan,Ubisoft,"Feb 27, 2004",Unreleased,"Dec 2, 2003"
The Bible Game,Mass Media,Crave Entertainment,Unreleased,Unreleased,"Oct 18, 2005"
Bicycle Casino,Leaping Lizard Software,Activision Value,"Mar 24, 2005",Unreleased,"Oct 26, 2004"
Big Bumpin',Blitz Games,King Games,Unreleased,Unreleased,"Nov 19, 2006"
Big Mutha Truckers,Eutechnyx,Empire Interactive PAL THQ NA,"Dec 6, 2002",Unreleased,"Jun 23, 2003"
Big Mutha Truckers 2,Eutechnyx,Empire Interactive PAL THQ NA,"Jun 24, 2005",Unreleased,"Aug 23, 2005"
Bionicle,Argonaut Games Argonaut Sheffield,Electronic Arts Lego Interactive,"Oct 17, 2003",Unreleased,"Oct 20, 2003"
Bistro Cupid,Success,Success,Unreleased,"Jun 13, 2002",Unreleased
Bistro Cupid 2,Success,Success,Unreleased,"Aug 28, 2003",Unreleased
Black,Criterion Games,Electronic Arts,"Feb 24, 2006",Unreleased,"Feb 28, 2006"
Black Stone: Magic & Steel Ex-Chaser (JP),XPEC Entertainment,Xicat Interactive WW Idea Factory JP,"Mar 21, 2003","May 22, 2003","Mar 13, 2003"
Blade II,Mucky Foot Productions,Activision,"Sep 27, 2002",Unreleased,"Sep 3, 2002"
Blazing Angels: Squadrons of WWII,Ubisoft Bucharest,Ubisoft,"Mar 30, 2006 AUS Mar 31, 2006 EU",Unreleased,"Mar 23, 2006"
Blinx: The Time Sweeper,Artoon,Microsoft Game Studios,"Oct 16, 2002 AUS Nov 8, 2002 EU","Dec 12, 2002","Oct 8, 2002"
Blinx 2: Masters of Time and Space,Artoon,Microsoft Game Studios,"Dec 3, 2004","Nov 18, 2004","Nov 16, 2004"
Blitz: The League,Midway Games,Midway,Unreleased,Unreleased,"Oct 17, 2005"
Blood Omen 2,Nixxes Software,Eidos Interactive,"Mar 28, 2002",Unreleased,"Mar 20, 2002"
BloodRayne,Terminal Reality,Majesco Sales NA Vivendi Universal Games PAL,"May 2, 2003",Unreleased,"Oct 31, 2002"
BloodRayne 2,Terminal Reality,Majesco Sales,"Feb 17, 2006",Unreleased,"Oct 12, 2004"
Blood Wake,Stormfront Studios,Microsoft Game Studios,"Mar 14, 2002",Unreleased,"Dec 28, 2001"
Bloody Roar Extreme,Konami Software Shanghai,Hudson Soft,"Jul 17, 2003","Nov 28, 2003","May 27, 2003"
BlowOut,Terminal Reality,Majesco Sales,"Nov 26, 2004",Unreleased,"Nov 5, 2003"
BMX XXX,Z-Axis,AKA Acclaim,"Dec 6, 2002",Unreleased,"Nov 15, 2002"
Braveknight,Panther Software,Panther Software,Unreleased,"Sep 26, 2002",Unreleased
Break Nine: World Billiards Tournament,ASK,ASK,Unreleased,"Jul 25, 2002",Unreleased
Breakdown,Namco,Namco,"Jun 18, 2004","Jan 29, 2004","Mar 16, 2004"
Breeders' Cup World Thoroughbred Championships,4J Studios,Bethesda Softworks,Unreleased,Unreleased,"Sep 21, 2005"
Brian Lara International Cricket 2005 Ricky Ponting International Cricket 2005 (AUS),Swordfish Studios,Codemasters,"Jul 21, 2005 EU Sep 29, 2005 AUS",Unreleased,Unreleased
Broken Sword: The Sleeping Dragon,Revolution Software,THQ PAL The Adventure Company NA,"Nov 14, 2003",Unreleased,"Dec 8, 2003"
Brothers in Arms: Earned in Blood,Gearbox Software,Ubisoft,"Oct 6, 2005 AUS Oct 7, 2005 EU",Unreleased,"Oct 6, 2005"
Brothers in Arms: Road to Hill 30,Gearbox Software,Ubisoft,"Mar 18, 2005","Sep 15, 2005","Mar 1, 2005"
Bruce Lee: Quest of the Dragon,Ronin Entertainment,Universal Interactive,"Sep 6, 2002",Unreleased,"Jul 2, 2002"
Brute Force,Digital Anvil,Microsoft Game Studios,"Jun 5, 2003 AUS Jun 20, 2003 EU","Oct 9, 2003","May 27, 2003"
Buffy the Vampire Slayer,The Collective,Electronic Arts,"Sep 13, 2002",Unreleased,"Aug 19, 2002"
Buffy the Vampire Slayer: Chaos Bleeds,Eurocom,Vivendi Universal Games,"Oct 24, 2003 EU Oct 29, 2003 AUS","Dec 25, 2003","August 26, 2003"
Burnout,Criterion Games,Acclaim Entertainment,"May 3, 2002",Unreleased,"Apr 30, 2002"
Burnout 2: Point of Impact,Criterion Games,Acclaim Entertainment,"May 9, 2003 EU May 15, 2003 AUS",Unreleased,"May 1, 2003"
Burnout 3: Takedown,Criterion Games,EA Games,"Sep 9, 2004 AUS Sep 10, 2004 EU",Unreleased,"Sep 8, 2004"
Burnout Revenge,Criterion Games,Electronic Arts,"Sep 23, 2005 EU Sep 26, 2005 AUS",Unreleased,"Sep 13, 2005"
C.A.T.: Cyber Attack Team,Hyde Medix,Medix,Unreleased,"Jun 26, 2003",Unreleased
Cabela's Big Game Hunter 2005 Adventures,Fun Labs,Activision,"Oct 14, 2005",Unreleased,"Nov 23, 2004"
Cabela's Dangerous Hunts,Fun Labs,Activision,"Oct 1, 2004",Unreleased,"Nov 11, 2003"
Cabela's Dangerous Hunts 2,Fun Labs,Activision,"Mar 1, 2006",Unreleased,"Nov 15, 2005"
Cabela's Deer Hunt: 2004 Season,Fun Labs,Activision,Unreleased,Unreleased,"Aug 26, 2003"
Cabela's Deer Hunt: 2005 Season,Fun Labs,Activision,"Feb 2, 2005",Unreleased,"Aug 31, 2004"
Cabela's Outdoor Adventures,Fun Labs,Activision,"Mar 17, 2006",Unreleased,"Sep 14, 2005"
