Title,Developer(s),Publisher(s),Release date
Big Mutha Truckers,Eutechnyx,THQ,"02002-12-29 December 29, 2002"
Big Mutha Truckers 2,Empire Interactive,THQ,"02005-06-24 June 24, 2005"
Bionicle,Argonaut Games,Electronic Arts Lego Interactive,"02003-10-17 October 17, 2003"
Bistro Cupid (JP),Success,Success,Unreleased
Bistro Cupid 2,Success,Success,Unreleased
Black,Criterion Games,Electronic Arts,"02006-02-24 February 24, 2006"
Black Stone: Magic & Steel Ex-Chaser (JP),XPEC Entertainment,Xicat Interactive,"02003-03-21 March 21, 2003"
Blade II,Mucky Foot Productions,Activision,"02002-09-27 September 27, 2002"
Blazing Angels: Squadrons of WWII,Ubisoft Bucharest,Ubisoft,"02006-03-31 March 31, 2006"
Blinx: The Time Sweeper,Artoon,Microsoft Game Studios,"02002-11-08 November 08, 2002"
Blinx 2: Masters of Time and Space Blinx 2: Battle of Time and Space (JP),Artoon,Microsoft Game Studios,"02004-12-03 December 03, 2004"
Blitz: The League,Midway Games,Midway Games,Unreleased
Blood Omen 2,Crystal Dynamics,Eidos Interactive,"02002-03-28 March 28, 2002"
Blood Wake,Stormfront Studios,Microsoft Game Studios,"02002-03-14 March 14, 2002"
BloodRayne,Terminal Reality,Majesco Entertainment,"02003-05-02 May 02, 2003"
BloodRayne 2,Terminal Reality,Majesco Entertainment,"02006-02-17 February 17, 2006"
Bloody Roar Extreme,Hudson Soft,Konami,"02003-07-17 July 17, 2003"
BlowOut,Terminal Reality,Majesco Entertainment,"02004-11-26 November 26, 2004"
BMX XXX,Z-Axis,AKA Acclaim,"02002-12-06 December 06, 2002"
Braveknight,Panther Software,Panther Software,Unreleased
Break Nine: World Billiards Tournament,ASK,ASK,Unreleased
Breakdown,Namco,Namco,"02004-06-18 June 18, 2004"
Breeders' Cup World Thoroughbred Championships,ZeniMax Media,Bethesda,Unreleased
Brian Lara International Cricket 2005 Ricky Ponting International Cricket 2005 (Australia),Codemasters,Codemasters,"02005-07-21 July 21, 2005"
Broken Sword: The Sleeping Dragon,Revolution Software,The Adventure Company,"02003-11-14 November 14, 2003"
Brothers in Arms: Earned in Blood,Gearbox Software,Ubisoft,"02005-10-06 October 06, 2005"
Brothers in Arms: Road to Hill 30,Gearbox Software,Ubisoft,"02005-03-18 March 18, 2005"
Bruce Lee: Quest of the Dragon,Ronin Entertainment,Vivendi Universal Games,"02002-09-06 September 06, 2002"
Brute Force,Digital Anvil,Microsoft Game Studios,"02003-06-20 June 20, 2003"
Buffy the Vampire Slayer,The Collective,Electronic Arts,"02002-09-13 September 13, 2002"
Buffy the Vampire Slayer: Chaos Bleeds,Eurocom,Vivendi Universal Games,"02003-10-24 October 24, 2003"
Burnout,Criterion Games,Acclaim Entertainment,"02002-05-03 May 03, 2002"
Burnout 2: Point of Impact,Criterion Games,Acclaim Entertainment,"02003-05-09 May 09, 2003"
Burnout 3: Takedown,Criterion Games,EA Games,"02004-09-10 September 10, 2004"
Burnout Revenge,Criterion Games,Electronic Arts,"02005-09-23 September 23, 2005"
C.A.T.: Cyber Attack Team,Hide,Hide,Unreleased
Cabela's Big Game Hunter 2005 Adventures,Fun Labs,Activision,"02005-10-13 October 13, 2005"
Cabela's Dangerous Hunts,Fun Labs,Activision,"02004-10-01 October 01, 2004"
Cabela's Dangerous Hunts 2,Fun Labs,Activision,"02006-03-01 March 01, 2006"
Cabela's Deer Hunt: 2004 Season,Fun Labs,Activision,Unreleased
Cabela's Deer Hunt: 2005 Season,Fun Labs,Activision,"02005-02-02 February 02, 2005"
Cabela's Outdoor Adventures,Fun Labs,Activision,"02006-03-17 March 17, 2006"
Call of Cthulhu: Dark Corners of the Earth,Headfirst Productions,Bethesda Softworks / 2K Games,"02005-10-28 October 28, 2005"
Call of Duty: Finest Hour,Spark Unlimited,Activision,"02004-12-02 December 02, 2004"
Call of Duty 2: Big Red One,Treyarch,Activision,"02005-11-18 November 18, 2005"
Call of Duty 3,"Treyarch , Pi Studios",Activision,"02006-11-10 November 10, 2006"
Capcom Classics Collection Vol. 1,Backbone Entertainment,Capcom,"02005-11-18 November 18, 2005"
Capcom Classics Collection Vol. 2,Backbone Entertainment,Capcom,Unreleased
Capcom Fighting Evolution Capcom Fighting Jam (PAL) (JP),Capcom Production Studio 2,Capcom,"02005-06-24 June 24, 2005"
Capcom vs. SNK 2 EO,Capcom Production Studio 1,Capcom,"02003-03-07 March 07, 2003"
Carmen Sandiego: The Secret of the Stolen Drums,A2M,BAM! Entertainment,"02004-03-05 March 05, 2004"
Cars,Rainbow Studios,THQ,"02006-07-13 July 13, 2006"
Carve,Argonaut Games,Global Star Software,"02004-12-31 December 31, 2004"
Castlevania: Curse of Darkness,Konami,Konami,"02006-02-17 February 17, 2006"
Catwoman,Template:Hlist,EA Games,"02004-08-06 August 06, 2004"
Cel Damage,Pseudo Interactive,EA Games,"02002-05-03 May 03, 2002"
Celebrity Deathmatch,Big Ape Productions,Gotham Games,"02003-10-31 October 31, 2003"
Championship Bowling,Black Market Games,Evolved Games,Unreleased
