Title,Developer(s),Publisher(s),Release date
Grabbed by the Ghoulies,Rare,Microsoft Game Studios,"02003-11-21 November 21, 2003"
Grand Theft Auto III,Template:Hlist,Rockstar Games,"02004-01-02 January 02, 2004"
Grand Theft Auto: San Andreas,Rockstar North,Rockstar Games,"02005-06-10 June 10, 2005"
Grand Theft Auto: Vice City,Template:Hlist,Rockstar Games,"02004-01-02 January 02, 2004"
Gravity Games Bike: Street. Vert. Dirt.,Midway Games,Midway Games,"02002-09-27 September 27, 2002"
Template:Sort,Pivotal Games,Gotham Games,"02003-08-29 August 29, 2003"
Greg Hastings Tournament Paintball,WXP,Activision,"02005-03-25 March 25, 2005"
Greg Hastings' Tournament Paintball Max'd,WXP,Activision,"02005-12-20 December 20, 2005"
Grooverider: Slot Car Thunder,King of the Jungle,Encore,Unreleased
Group S Challenge,Capcom,Capcom,"02003-09-26 September 26, 2003"
Guilty Gear Isuka [NA ],Sammy,Sammy,Unreleased
Guilty Gear X2#Reload [NA ],Sammy,Sammy,"02004-11-26 November 26, 2004"
Gun,Neversoft,Activision,"02005-11-11 November 11, 2005"
Gun Metal,Rage Software,Majesco Entertainment,"02002-06-30 June 30, 2002"
GunGriffon: Allied Strike,Game Arts,Tecmo,"02005-04-08 April 08, 2005"
Gunvalkyrie,Smilebit,Sega,"02002-05-17 May 17, 2002"
Template:Sort,Topheavy Studios,Gathering of Developers,Unreleased
Half-Life 2,Valve,Valve,"02005-11-17 November 17, 2005"
Halo: Combat Evolved,Bungie,Microsoft Game Studios,"02002-03-14 March 14, 2002"
Halo 2,Bungie,Microsoft Game Studios,"02004-11-09 November 09, 2004"
Halo 2 Multiplayer Map Pack,Bungie,Microsoft Game Studios,"02005-07-08 July 08, 2005"
Harry Potter and the Chamber of Secrets,Eurocom,EA Games,"02002-11-15 November 15, 2002"
Harry Potter and the Goblet of Fire,EA UK,Electronic Arts,"02005-11-11 November 11, 2005"
Harry Potter and the Prisoner of Azkaban,EA UK,EA Games,"02004-05-29 May 29, 2004"
Harry Potter and the Sorcerer's Stone Harry Potter and the Philosopher's Stone (PAL),Warthog Games,EA Games,"02003-12-12 December 12, 2003"
Harry Potter: Quidditch World Cup,EA UK,EA Games,"02003-11-07 November 07, 2003"
Template:Sort,High Voltage Software,TDK Mediactive,"02003-03-05 March 05, 2003"
Headhunter Redemption,Amuze,Sega,"02003-10-31 October 31, 2003"
Hello Kitty: Roller Rescue Hello Kitty: Mission Rescue (AS),XPEC Entertainment,Namco,"02005-09-09 September 09, 2005"
Heroes of the Pacific,IR Gurus,"Codemasters , Ubisoft","02005-09-23 September 23, 2005"
High Heat Major League Baseball 2004,3DO,3DO,Unreleased
High Rollers Casino,Cinemaware,Mud Duck Productions,Unreleased
Hitman: Blood Money,IO Interactive,Eidos Interactive,"02006-05-26 May 26, 2006"
Hitman: Contracts,IO Interactive,Eidos Interactive,"02004-04-30 April 30, 2004"
Hitman 2: Silent Assassin,IO Interactive,Eidos Interactive,"02002-10-04 October 04, 2002"
Template:Sort,Inevitable Entertainment,Vivendi Universal Games,"02003-11-28 November 28, 2003"
Hot Wheels: Stunt Track Challenge,Climax,THQ,"02004-11-26 November 26, 2004"
The House of the Dead III,Wow Entertainment,Sega,"02003-03-14 March 14, 2003"
Hulk,Radical Entertainment,Vivendi Universal Games,"02003-06-13 June 13, 2003"
Hummer Badlands,Eutechnyx,2K Games,Unreleased
Hunter: The Reckoning,High Voltage Software,Interplay Entertainment,"02002-07-05 July 05, 2002"
Hunter: The Reckoning: Redeemer,High Voltage Software,Vivendi Universal Games,"02003-11-21 November 21, 2003"
The Hustle: Detroit Streets,Blade Interactive,Activision Value,Unreleased
I-Ninja,Argonaut Games,Namco,Unreleased
Ice Age 2: The Meltdown,Eurocom,Vivendi Universal Games,"02006-03-31 March 31, 2006"
IHRA Drag Racing 2004,Bethesda Softworks,Bethesda Softworks,Unreleased
IHRA Drag Racing: Sportsman Edition,Bethesda Softworks,Bethesda Softworks,Unreleased
IHRA Professional Drag Racing 2005,Bethesda Softworks,Bethesda Softworks,Unreleased
Innocent Tears,Global A Entertainment,Kobi,Unreleased
Template:Sort,Radical Entertainment,Vivendi Universal Games,"02005-09-09 September 09, 2005"
Template:Sort,Heavy Iron Studios,THQ,"02004-11-05 November 05, 2004"
Template:Sort,Heavy Iron Studios,THQ,"02005-11-11 November 11, 2005"
Indiana Jones and the Emperor's Tomb,The Collective,LucasArts,"02003-03-28 March 28, 2003"
Indigo Prophecy Fahrenheit (PAL),Quantic Dream,Atari,"02005-09-16 September 16, 2005"
IndyCar Series,Codemasters,Codemasters,"02003-06-20 June 20, 2003"
IndyCar Series 2005,Codemasters,Codemasters,"02004-06-25 June 25, 2004"
Inside Pitch 2003,Microsoft Game Studios,Microsoft Game Studios,Unreleased
Template:Sort,Climax Group,Eidos Interactive,"02003-09-12 September 12, 2003"
Intellivision Lives!,Realtime Associates,Crave Entertainment,Unreleased
International Superstar Soccer 2,KCEO,Konami,"02002-05-03 May 03, 2002"
Iron Phoenix,InterServ International,Sega,"02004-10-19 October 19, 2004"
Jacked,Sproing,Empire Interactive,"02006-02-10 February 10, 2006"
Jade Empire,BioWare,Microsoft Game Studios,"02005-04-22 April 22, 2005"
James Bond 007: Agent Under Fire,Template:Hlist,EA Games,"02002-06-14 June 14, 2002"
James Bond 007: Everything or Nothing,Template:Hlist,EA Games,"02004-02-26 February 26, 2004"
James Bond 007: From Russia with Love,EA Redwood Shores,Electronic Arts,"02005-11-17 November 17, 2005"
James Bond 007: Nightfire,Eurocom,EA Games,"02003-11-29 November 29, 2003"
James Cameron's Dark Angel,Radical Entertainment,Vivendi Universal Games,"02002-11-19 November 19, 2002"
Jaws Unleashed,Appaloosa Interactive,Majesco Entertainment,"02006-10-20 October 20, 2006"
Jet Set Radio Future,Smilebit,Sega,"02002-03-14 March 14, 2002"
Jikkyou World Soccer 2002,Konami,Konami,Unreleased
Jockey's Road,Progress Software,Microsoft Game Studios,Unreleased
Judge Dredd: Dredd Vs. Death,Rebellion Developments,Evolved Games,"02003-10-17 October 17, 2003"
Juiced,Juice Games,THQ,"02005-06-17 June 17, 2005"
Jurassic Park: Operation Genesis,Blue Tongue,Vivendi Universal Games Konami,"02003-03-28 March 28, 2003"
Just Cause,Avalanche Studios,Eidos Interactive,"02006-09-22 September 22, 2006"
Justice League Heroes,Snowblind Studios,Eidos Interactive,"02006-10-06 October 06, 2006"
Kabuki Warriors Zan Kabuki (JP),Bergsala Lightweight,Crave Entertainment,Unreleased
Kakuto Chojin,Dream Publishing,Microsoft Game Studios,"02003-01-07 January 07, 2003"
Kao the Kangaroo: Round 2,Tate Interactive,JoWooD Productions,"02005-04-15 April 15, 2005"
Karaoke Revolution,Harmonix Music,Konami,Unreleased
Karaoke Revolution Party,Harmonix Music,Konami,Unreleased
Kelly Slater's Pro Surfer,Treyarch,Activision,"02002-10-18 October 18, 2002"
Kikou Heidan J-Phoenix +,Takara,Takara,Unreleased
Kill Switch,Namco,Namco,"02004-02-02 February 02, 2004"
King Arthur,Krome Studios,Konami,"02005-02-11 February 11, 2005"
Kingdom Under Fire: Heroes,"Blueside , Phantagram",Microsoft Game Studios,"02005-10-07 October 07, 2005"
Kingdom Under Fire: The Crusaders,Phantagram,Microsoft Game Studios,"02004-10-29 October 29, 2004"
Template:Sort,Eolith,Eolith,"02005-03-24 March 24, 2005"
Template:Sort,Eolith,Eolith,Unreleased
Template:Sort,SNK Playmore,SNK Playmore,Unreleased
Template:Sort,SNK Playmore,SNK Playmore,Unreleased
Knight's Apprentice: Memorick's Adventures,Microids,XS Games,"02004-06-15 June 15, 2004"
Knights of the Temple: Infernal Crusade,Starbreeze Studios,TDK Mediactive,"02004-04-08 April 08, 2004"
Knights of the Temple II,Cauldron,"Playlogic Entertainment , TDK Mediactive","02005-11-24 November 24, 2005"
Knockout Kings 2002,Black Ops Entertainment,EA Sports,"02002-05-03 May 03, 2002"
Kung Fu Chaos,Just Add Monsters,Microsoft Game Studios,"02003-04-11 April 11, 2003"
L.A. Rush,Midway Games,Midway Games,"02005-10-21 October 21, 2005"
Land of the Dead: Road to Fiddler's Green,Brainbox Games,Groove Games,Unreleased
Largo Winch: Empire Under Threat,Dupuis,Ubi Soft,"02002-09-19 September 19, 2002"
Legacy of Kain: Defiance,Crystal Dynamics,Eidos Interactive,"02003-11-18 November 18, 2003"
Template:Sort,Krome Studios,Vivendi Games,"02006-10-27 October 27, 2006"
Legends of Wrestling,Acclaim Studios Salt Lake City,Acclaim Entertainment,"02002-06-07 June 07, 2002"
Legends of Wrestling II,Acclaim Studios Salt Lake City,Acclaim Entertainment,"02003-02-07 February 07, 2003"
Lego Star Wars: The Video Game,Traveller's Tales,Eidos Interactive Giant Interactive Entertainment,"02005-04-22 April 22, 2005"
Lego Star Wars II: The Original Trilogy,Traveller's Tales,LucasArts,"02006-09-12 September 12, 2006"
Leisure Suit Larry: Magna Cum Laude,High Voltage Software,Vivendi Universal Games,"02004-11-05 November 05, 2004"
Lemony Snicket's A Series of Unfortunate Events,Adrenium Games,Activision,"02004-11-26 November 26, 2004"
Links 2004,Indie Built,Microsoft Game Studios,"02003-11-28 November 28, 2003"
LMA Manager 2003,Codemasters,Codemasters,"02002-11-15 November 15, 2002"
LMA Manager 2004,Codemasters,Codemasters,"02004-03-12 March 12, 2004"
LMA Manager 2005,Codemasters,Codemasters,"02004-10-31 October 31, 2004"
LMA Manager 2006,Codemasters,Codemasters,"02005-11-18 November 18, 2005"
Loons: The Fight for Fame,Warthog Games,Infogrames,"02002-09-27 September 27, 2002"
Template:Sort,The Whole Experience,Vivendi Universal Games,"02002-11-08 November 08, 2002"
Template:Sort,Template:Hlist,EA Games,"02003-11-14 November 14, 2003"
Template:Sort,EA Redwood Shores,EA Games,"02004-11-05 November 05, 2004"
Template:Sort,Stormfront Studios,EA Games,"02003-03-14 March 14, 2003"
Lotus Challenge,Kuju Entertainment,Ignition Entertainment,"02003-02-12 February 12, 2003"
Mace Griffin: Bounty Hunter,Warthog Games,Vivendi Universal Games,"02003-09-26 September 26, 2003"
Mad Dash Racing,Crystal Dynamics,Eidos Interactive,"02002-03-14 March 14, 2002"
Madagascar,Toys for Bob,Activision,"02005-06-30 June 30, 2005"
Madden NFL 06,EA Tiburon,EA Sports,"02005-09-16 September 16, 2005"
Madden NFL 07,EA Tiburon,EA Sports,"02006-08-25 August 25, 2006"
Madden NFL 08,EA Tiburon,EA Sports,Unreleased
Madden NFL 09,EA Tiburon,EA Sports,Unreleased
Madden NFL 2002,EA Tiburon,EA Sports,Unreleased
Madden NFL 2003,EA Tiburon,EA Sports,"02002-09-27 September 27, 2002"
Madden NFL 2004,EA Tiburon,EA Sports,"02003-09-12 September 12, 2003"
Madden NFL 2005,EA Tiburon,EA Sports,"02004-09-17 September 17, 2004"
Mafia,Illusion Softworks,Gathering of Developers,"02004-04-08 April 08, 2004"
Magatama,Microsoft Game Studios Japan,Microsoft Game Studios,Unreleased
Magic the Gathering: Battlegrounds,Secret Level,Atari,"02003-11-21 November 21, 2003"
Magi Death Fight: Mahou Gakuen,Takuyo,Takuyo,Unreleased
Major League Baseball 2K5,Kush Games,2K Games,Unreleased
Major League Baseball 2K5: World Series Edition,Kush Games,2K Games,Unreleased
Major League Baseball 2K6,Kush Games,2K Games,Unreleased
Major League Baseball 2K7,Kush Games,2K Games,Unreleased
Malice,Argonaut Games,Mud Duck Productions,"02004-08-06 August 06, 2004"
Manchester United Manager 2005,Codemasters,Codemasters,"02004-10-22 October 22, 2004"
Manhunt,Rockstar North,Rockstar Games,"02004-04-23 April 23, 2004"
Marc Ecko's Getting Up: Contents Under Pressure,The Collective,Atari,"02006-02-24 February 24, 2006"
Marvel: Ultimate Alliance,Raven Software,Activision,"02006-10-27 October 27, 2006"
Marvel Nemesis: Rise of the Imperfects,Nihilistic Software,Electronic Arts,"02005-10-14 October 14, 2005"
Marvel vs. Capcom 2,Capcom,Capcom,"02002-11-29 November 29, 2002"
Mashed: Drive to Survive,Supersonic Software,Empire Interactive,"02004-06-18 June 18, 2004"
Mashed: Fully Loaded,Supersonic Software,Empire Interactive,"02005-03-24 March 24, 2005"
Mat Hoffman's Pro BMX 2,Rainbow Studios,Activision O2,"02002-10-04 October 04, 2002"
Template:Sort,Shiny Entertainment,Atari,"02005-11-11 November 11, 2005"
Max Payne,Template:Hlist,Rockstar Games,"02002-03-14 March 14, 2002"
Max Payne 2: The Fall of Max Payne,Template:Hlist,Rockstar Games,"02003-12-05 December 05, 2003"
Maximum Chase,Genki,"Majesco Entertainment , Microsoft Game Studios",Unreleased
MechAssault,Day 1 Studios,Microsoft Game Studios,"02002-11-22 November 22, 2002"
MechAssault 2: Lone Wolf,Day 1 Studios,Microsoft Game Studios,"02005-01-01 January 01, 2005"
Medal of Honor: European Assault,EA Los Angeles,EA Games,"02005-06-17 June 17, 2005"
Medal of Honor: Frontline,EA Los Angeles,EA Games,"02002-12-06 December 06, 2002"
Medal of Honor: Rising Sun,EA Los Angeles,EA Games,"02003-11-28 November 28, 2003"
Mega Man Anniversary Collection,Atomic Planet Entertainment,Capcom,Unreleased
Melbourne Cup Challenge Frankie Dettori Racing (EUR),Sidhe Interactive,Home Entertainment Providers,"02006-12-08 December 08, 2006"
Men of Valor,2015,Vivendi Universal Games,"02004-11-05 November 05, 2004"
Mercenaries: Playground of Destruction,Pandemic Studios,LucasArts,"02005-02-18 February 18, 2005"
Metal Arms: Glitch in the System,Swingin' Ape Studios,Vivendi Universal Games,"02003-12-05 December 05, 2003"
Metal Dungeon,Panther Software,Xicat Interactive,"02002-12-15 December 15, 2002"
Metal Gear Solid 2: Substance,Konami,Konami,"02003-03-07 March 07, 2003"
Metal Slug 3,SNK Playmore,SNK Playmore,"02004-11-12 November 12, 2004"
Metal Slug 4,Mega Enterprise,SNK Playmore,"02005-10-14 October 14, 2005"
Metal Slug 5,SNK Playmore,SNK Playmore,"02006-03-10 March 10, 2006"
Metal Wolf Chaos,FromSoftware,FromSoftware,Unreleased
Miami Vice,Davilex Games,Davilex Games,"02004-12-17 December 17, 2004"
Micro Machines,Infogrames Sheffield House,Infogrames,"02002-11-08 November 08, 2002"
Midnight Club II,Rockstar San Diego,Rockstar Games,"02003-06-30 June 30, 2003"
Midnight Club 3: DUB Edition,Rockstar San Diego,Rockstar Games,"02004-12-10 December 10, 2004"
Midnight Club 3: DUB Edition Remix,Rockstar San Diego,Rockstar Games,"02006-03-17 March 17, 2006"
Midtown Madness 3,Digital Illusions CE,Microsoft Game Studios,"02003-06-27 June 27, 2003"
Midway Arcade Treasures,Digital Eclipse Software,Midway Games,"02004-02-06 February 06, 2004"
Midway Arcade Treasures 2,Digital Eclipse Software,Midway Games,"02004-10-29 October 29, 2004"
Midway Arcade Treasures 3,Midway Games,Midway Games,"02005-10-14 October 14, 2005"
Mike Tyson Heavyweight Boxing,Atomic Planet,Codemasters,"02002-07-05 July 05, 2002"
Minority Report: Everybody Runs,Treyarch,Activision,"02002-11-06 November 06, 2002"
Mission Impossible: Operation Surma,Paradigm Entertainment,Atari,"02003-12-05 December 05, 2003"
MLB Slugfest 2003,Midway Games,Midway Games,Unreleased
MLB Slugfest 2004,Midway Games,Midway Games,Unreleased
MLB Slugfest 2006,Midway Games,Midway Games,Unreleased
MLB Slugfest: Loaded,Midway Games,Midway Games,Unreleased
Mojo!,Farsight Technologies,Crave Entertainment,"02004-03-26 March 26, 2004"
Monopoly Party,Runecraft,Infogrames,"02002-11-29 November 29, 2002"
Monster 4x4: World Circuit,Ubisoft,Ubisoft,Unreleased
Monster Garage,Impulse Games,Activision,Unreleased
Mortal Kombat: Armageddon,Midway Games,Midway Games,Unreleased
Mortal Kombat: Deadly Alliance,Midway Games,Midway Games,"02003-02-14 February 14, 2003"
Mortal Kombat: Deception,Midway Games,Midway Games,"02004-11-19 November 19, 2004"
Mortal Kombat: Shaolin Monks,Midway L.A.,Midway Games,"02005-09-30 September 30, 2005"
Motocross Mania 3,Deibus Studios,"2K Games , Global Star Software","02005-04-22 April 22, 2005"
MotoGP,Climax Studios,THQ,"02002-05-24 May 24, 2002"
MotoGP 2 MotoGP URT 2 Online Challenge (JP),Climax Studios,THQ,"02003-05-29 May 29, 2003"
MotoGP 3,Climax Studios,THQ,"02005-09-09 September 09, 2005"
MTV Music Generator 3: This is the Remix,Mixmax,Codemasters,"02004-06-24 June 24, 2004"
MTX: Mototrax,Left Field Productions,Activision,"02004-03-26 March 26, 2004"
Murakumo: Renegade Mech Pursuit,FromSoftware,"FromSoftware , Ubi Soft",Unreleased
Muzzle Flash,Beyond Interactive,Victor Interactive Software,Unreleased
MVP 06: NCAA Baseball,EA Canada,EA Sports,Unreleased
MVP Baseball 2003,EA Canada,EA Sports,Unreleased
MVP Baseball 2004,EA Canada,EA Sports,Unreleased
MVP Baseball 2005,EA Canada,EA Sports,Unreleased
MX 2002 featuring Ricky Carmichael,Pacific Coast Power & Light,THQ,"02002-04-26 April 26, 2002"
MX Superfly,Pacific Coast Power & Light,THQ,"02003-03-21 March 21, 2003"
MX Unleashed,Rainbow Studios,THQ,"02004-03-26 March 26, 2004"
MX vs. ATV Unleashed,Rainbow Studios,THQ,"02005-06-24 June 24, 2005"
MX World Tour Featuring Jamie Little,Impulse Games,Crave Entertainment,Unreleased
Myst III: Exile,Presto Studios,Ubi Soft,"02002-10-04 October 04, 2002"
Myst IV: Revelation,Ubisoft Montreal,Ubisoft,Unreleased
N.U.D.E.@ Natural Ultimate Digital Experiment,RED Entertainment,Microsoft Game Studios,Unreleased
Nakajima Tetsuya no Othello Seminar,Success,Success,Unreleased
Namco Museum,Mass Media Inc.,Namco,Unreleased
Namco Museum 50th Anniversary,Namco,Namco,"02005-11-11 November 11, 2005"
Narc,Point of View,Midway Games,"02005-05-20 May 20, 2005"
NASCAR 06: Total Team Control,EA Tiburon,EA Sports,"02005-10-21 October 21, 2005"
NASCAR 07,EA Tiburon,EA Sports,Unreleased
NASCAR 2005: Chase for the Cup,EA Tiburon,EA Sports,Unreleased
NASCAR Heat 2002,Monster Games,Infogrames,Unreleased
NASCAR Thunder 2002,EA Tiburon,EA Sports,Unreleased
NASCAR Thunder 2003,EA Sports,EA Sports,Unreleased
NASCAR Thunder 2004,EA Tiburon,EA Sports,Unreleased
NBA 2K2,Visual Concepts,Sega,Unreleased
NBA 2K3,Visual Concepts,Sega,"02002-12-20 December 20, 2002"
NBA 2K6,Visual Concepts,2K Sports,"02006-03-10 March 10, 2006"
NBA 2K7,"Visual Concepts , Kush Games",2K Sports,"02006-11-03 November 03, 2006"
NBA Ballers,Midway Games,Midway Games,Unreleased
NBA Ballers: Phenom,Midway Games,Midway Games,Unreleased
NBA Inside Drive 2002,High Voltage Software,Microsoft Game Studios,"02002-05-15 May 15, 2002"
NBA Inside Drive 2003,High Voltage Software,Microsoft Game Studios,"02002-12-06 December 06, 2002"
NBA Inside Drive 2004,High Voltage Software,Microsoft Game Studios,"02003-11-28 November 28, 2003"
NBA Jam,Acclaim Studios Austin,Acclaim Entertainment,"02003-11-13 November 13, 2003"
NBA Live 06,EA Canada,EA Sports,"02005-10-28 October 28, 2005"
NBA Live 07,EA Canada,EA Sports,"02006-10-06 October 06, 2006"
NBA Live 2002,EA Canada,EA Sports,"02002-03-14 March 14, 2002"
NBA Live 2003,EA Canada,EA Sports,"02003-02-07 February 07, 2003"
NBA Live 2004,EA Canada,EA Sports,"02003-10-23 October 23, 2003"
NBA Live 2005,EA Canada,EA Sports,"02004-09-29 September 29, 2004"
NBA Starting Five,Konami,Konami,Unreleased
NBA Street V3,EA Canada,EA Sports BIG,"02005-02-18 February 18, 2005"
NBA Street Vol. 2,"EA Canada , NuFX",EA Sports BIG,"02003-05-02 May 02, 2003"
NCAA College Basketball 2K3,"Kush Games , Visual Concepts",Sega,Unreleased
NCAA College Football 2K3,Avalanche Software,Sega,Unreleased
NCAA Football 06,EA Tiburon,EA Sports,Unreleased
NCAA Football 07,EA Tiburon,EA Sports,Unreleased
NCAA Football 08,EA Tiburon,EA Sports,Unreleased
NCAA Football 2003,EA Tiburon,EA Sports,Unreleased
NCAA Football 2004,EA Tiburon,EA Sports,Unreleased
NCAA Football 2005,EA Tiburon,EA Sports,Unreleased
NCAA March Madness 06,EA Canada,EA Sports,Unreleased
NCAA March Madness 2004,EA Sports,EA Sports,Unreleased
NCAA March Madness 2005,EA Canada,EA Sports,Unreleased
Need for Speed: Carbon,EA Canada,Electronic Arts,"02006-11-10 November 10, 2006"
Need for Speed: Hot Pursuit 2,EA Seattle,EA Games,"02002-10-25 October 25, 2002"
Need for Speed: Most Wanted,Template:Hlist,Electronic Arts,"02005-11-25 November 25, 2005"
Need for Speed: Underground,EA Black Box,EA Games,"02003-11-21 November 21, 2003"
Need for Speed: Underground 2,EA Black Box,EA Games,"02004-11-19 November 19, 2004"
Neighbours from Hell,JoWooD Vienna,JoWooD Productions,"02005-03-04 March 04, 2005"
New Legends,Infinite Machine,THQ,"02002-05-17 May 17, 2002"
NFL 2K2,Visual Concepts,Sega,Unreleased
NFL 2K3,Visual Concepts,Sega,"02002-12-20 December 20, 2002"
NFL Blitz 20-02,"Point of View, Inc.",Midway Games,Unreleased
NFL Blitz 2003,"Point of View, Inc.",Midway Games,Unreleased
NFL Blitz Pro,Midway Games,Midway Games,Unreleased
NFL Fever 2002,Microsoft Game Studios,Microsoft Game Studios,Unreleased
NFL Fever 2003,Microsoft Game Studios,Microsoft Game Studios,"02002-11-01 November 01, 2002"
NFL Fever 2004,Microsoft Game Studios,Microsoft Game Studios,"02003-10-23 October 23, 2003"
NFL Head Coach,EA Tiburon,EA Sports,Unreleased
NFL Street,EA Tiburon,EA Sports BIG,"02004-01-30 January 30, 2004"
NFL Street 2,EA Tiburon,EA Sports BIG,"02005-01-28 January 28, 2005"
NHL 06,EA Canada,EA Sports,"02005-09-23 September 23, 2005"
NHL 07,EA Montreal,EA Sports,"02006-09-22 September 22, 2006"
NHL 2002,EA Canada,EA Sports,"02002-03-14 March 14, 2002"
NHL 2003,EA Canada,EA Sports,"02002-10-25 October 25, 2002"
NHL 2004,EA Black Box,EA Sports,"02003-10-03 October 03, 2003"
NHL 2005,EA Black Box,EA Sports,"02004-09-24 September 24, 2004"
NHL 2K3,Treyarch,Sega,"02003-03-28 March 28, 2003"
NHL 2K6,Kush Games,2K Sports,"02006-03-10 March 10, 2006"
NHL 2K7,"Kush Games , Visual Concepts",2K Sports,"02006-10-06 October 06, 2006"
NHL Hitz 20-02,Black Box Games,Midway Games,"02002-03-14 March 14, 2002"
NHL Hitz 20-03,Midway Games,Midway Games,"02002-11-01 November 01, 2002"
NHL Hitz Pro,Next Level Games,Midway Games,"02003-11-14 November 14, 2003"
NHL Rivals 2004,Microsoft Game Studios,Microsoft Game Studios,"02003-12-27 December 27, 2003"
Nickelodeon Party Blast,Data Design Interactive,Infogrames,"02002-12-06 December 06, 2002"
NightCaster: Defeat the Darkness,VR-1,Microsoft Game Studios,"02002-05-28 May 28, 2002"
NightCaster II: Equinox,Jaleco,Jaleco,"02003-06-06 June 06, 2003"
Ninja Gaiden,Team Ninja,Tecmo,"02004-05-14 May 14, 2004"
Ninja Gaiden Black,Team Ninja,Microsoft Game Studios,"02005-10-21 October 21, 2005"
Nobunaga no Yabou: Ranseiki,Koei,Koei,Unreleased
ObsCure,Hydravision Entertainment,DreamCatcher Interactive,"02004-10-01 October 01, 2004"
Oddworld: Munch's Oddysee,Oddworld Inhabitants,Infogrames,"02002-03-14 March 14, 2002"
Oddworld: Stranger's Wrath,Oddworld Inhabitants,EA Games,"02005-03-03 March 03, 2005"
Open Season,Ubisoft,Ubisoft,"02006-10-06 October 06, 2006"
Operation Flashpoint: Elite,Bohemia Interactive,Codemasters,"02005-10-28 October 28, 2005"
Template:Sort,FromSoftware,Sega,"02003-09-05 September 05, 2003"
Template:Sort,FromSoftware,Sega,"02004-02-11 February 11, 2004"
Outlaw Golf,Hypnotix,Simon & Schuster,"02002-11-29 November 29, 2002"
Outlaw Golf 2,Hypnotix,Global Star Software,"02005-01-28 January 28, 2005"
Outlaw Golf: 9 More Holes of X-Mas,Hypnotix,Simon & Schuster,Unreleased
Outlaw Golf: Holiday Golf (9 Holes of X-Mas),Simon & Schuster,Simon & Schuster,Unreleased
Outlaw Tennis,Hypnotix,Global Star Software,"02005-07-29 July 29, 2005"
Outlaw Volleyball,Hypnotix,Simon & Schuster,"02003-11-07 November 07, 2003"
Outlaw Volleyball: Red Hot,Hypnotix,Simon & Schuster,Unreleased
OutRun 2,Sumo Digital,Microsoft Game Studios,"02004-10-01 October 01, 2004"
OutRun 2006: Coast 2 Coast,Sumo Digital,Sega,"02006-03-31 March 31, 2006"
Over the Hedge,Edge of Reality,Activision,"02006-06-23 June 23, 2006"
Pac-Man World 2,Namco,Namco,"02002-10-15 October 15, 2002"
Pac-Man World 3,Blitz Games,Namco Electronic Arts,"02006-05-05 May 05, 2006"
Painkiller: Hell Wars,People Can Fly,DreamCatcher Interactive,"02006-07-07 July 07, 2006"
Panzer Dragoon Orta,Smilebit,Sega,"02003-04-21 April 21, 2003"
Panzer Elite Action: Fields of Glory,ZootFly,JoWooD Productions,"02006-06-02 June 02, 2006"
Pariah,Digital Extremes,Groove Games,"02005-05-06 May 06, 2005"
Peter Jackson's King Kong,Ubisoft Montpellier,Ubisoft,"02005-11-17 November 17, 2005"
Petit Copter,Aqua Systems,Aqua Systems,Unreleased
Phantasy Star Online Episode I & II,Sonic Team,Sega,"02003-05-23 May 23, 2003"
Phantom Crash,Genki,Phantagram,"02002-11-22 November 22, 2002"
Phantom Dust,Microsoft Game Studios,"Majesco Entertainment , Microsoft Game Studios",Unreleased
Pilot Down: Behind Enemy Lines,Wide Games,Microids,"02005-09-09 September 09, 2005"
Pinball Hall of Fame,FarSight Studios,Crave Entertainment,Unreleased
Pirates of the Caribbean,Akella,Bethesda Softworks,"02003-09-05 September 05, 2003"
Pirates: The Legend of Black Kat,Westwood Studios,Electronic Arts,"02002-04-19 April 19, 2002"
Pitfall: The Lost Expedition,Edge of Reality,Activision,"02004-02-20 February 20, 2004"
Playboy: The Mansion,Cyberlore Studios,"Arush Entertainment , Groove Games","02005-03-04 March 04, 2005"
Plus Plumb 2,Takuyo,Takuyo,Unreleased
PocketBike Racer,Blitz Games,King Games,Unreleased
Pool Shark 2,Blade Interactive,Zoo Digital Publishing,"02004-11-19 November 19, 2004"
Powerdrome,Argonaut Games,Mud Duck Productions,"02004-10-29 October 29, 2004"
Predator: Concrete Jungle,Eurocom,Vivendi Universal Games,"02005-04-15 April 15, 2005"
Prince of Persia: The Sands of Time,Ubisoft Montreal,Ubisoft,"02004-02-20 February 20, 2004"
Prince of Persia: The Two Thrones,"Ubisoft Montreal , Ubisoft Casablanca",Ubisoft,"02005-12-09 December 09, 2005"
Prince of Persia: Warrior Within,Ubisoft Montreal,Ubisoft,"02004-12-03 December 03, 2004"
Prisoner of War,Wide Games,Codemasters,"02002-07-19 July 19, 2002"
Pro Cast Sports Fishing,Capcom,Capcom,"02003-09-26 September 26, 2003"
Pro Fishing Challenge,Opus Company,Atlus,Unreleased
Pro Race Driver TOCA Race Driver (PAL) V8 Supercars Australia - Race Driver (Australia),Codemasters,Codemasters,"02003-03-28 March 28, 2003"
Project Gotham Racing,Bizarre Creations,Microsoft Game Studios,"02002-03-14 March 14, 2002"
Project Gotham Racing 2,Bizarre Creations,Microsoft Game Studios,"02003-11-28 November 28, 2003"
Project Snowblind,Crystal Dynamics,Eidos Interactive,"02005-03-11 March 11, 2005"
ProStroke Golf: World Tour 2007,Gusto Games,Oxygen Interactive,"02006-08-18 August 18, 2006"
